Name,Description,Purchase Price,Sell Price,Defense Power,Magic Defense Power,Accuracy,Gender
Solar Flare Gauntlets,"Gauntlets that periodically unleash bursts of sunlight.",1550,775,72,38,0,Male
Abyssal Handguards,"Handguards from the deepest, darkest pits.",2000,1000,98,30,0,Unisex
Divine Aegis Gloves,"Gloves that provide an invisible shield, divinely powered.",1650,825,32,52,0,Female
Grimstone Gauntlets,"Gauntlets carved from cursed stone, heavy and menacing.",1750,875,82,28,0,Male
Ebon Shadow Gauntlets,"Gauntlets that melt into shadows, making the wearer unseen.",1850,925,75,35,17,Unisex
Mythril Weave Gloves,"Gloves woven from fine mythril, light and extremely strong.",1400,700,38,40,0,Unisex
Adamantite Fist Gauntlets,"Gauntlets made of pure adamantite, unyielding.",2000,1000,105,35,0,Male
Celestial Zenith Gauntlets,"Gauntlets that draw power from the highest heavens.",2100,1050,100,45,0,Unisex
Void Heart Gauntlets,"Gauntlets that house a fragment of the void, immense power.",2200,1100,105,50,0,Unisex
Dragon's Breath Gauntlets,"Gauntlets imbued with a dragon's fiery breath.",2300,1150,110,40,0,Unisex
Starfire Gauntlets,"Gauntlets glowing with cosmic fire, scorching foes.",2400,1200,115,42,0,Unisex
True Divine Gauntlets,"Gauntlets said to be worn by gods, ultimate protection.",2500,1250,120,60,0,Unisex
Soul Eater Gauntlets,"Gauntlets that devour the souls of defeated enemies.",2600,1300,125,55,0,Unisex
Worldshaper Gauntlets,"Gauntlets that hum with world-shaping energy, immense power.",2700,1350,130,65,0,Unisex
Sunken King's Gauntlets,"Gauntlets of a forgotten underwater king, granting aquatic power.",1500,750,70,30,0,Male
Spirit Guardian Gauntlets,"Gauntlets imbued with ancient guardian spirits, protecting all.",1600,800,75,35,0,Unisex
Whisperwind Gauntlets II,"Improved Whisperwind Gauntlets, even swifter.",1000,500,25,25,20,Unisex
Crimson Fury Gauntlets,"Gauntlets that boil with controlled rage, increasing strength.",1300,650,60,20,0,Male
Emerald Soul Gauntlets,"Gauntlets pulsating with emerald energy, enhancing vitality.",1100,550,25,45,0,Female
Onyx Shadow Gauntlets,"Gauntlets of pure shadow, absorbing all light.",1400,700,65,28,0,Unisex
Starfall Gauntlets II,"Enhanced Starfall Gauntlets, stronger cosmic energy.",1300,650,60,35,0,Unisex
Moonstone Eclipse Gauntlets,"Bracers that absorb moonlight, enhancing night vision and stealth.",1050,525,22,40,10,Female
Blazecore Gauntlets II,"Improved Blazecore Gauntlets, hotter and more resilient.",1600,800,80,25,0,Male
Nightfall Gauntlets II,"More potent Nightfall Gauntlets, deeper shadows.",1450,725,70,30,20,Unisex
Ancient Steel Gauntlets II,"Further reinforced Ancient Steel Gauntlets, nearly unbreakable.",1100,550,50,15,0,Unisex
Divine Radiance Gauntlets,"Gauntlets emanating intense divine light, scorching foes.",1900,950,85,45,0,Unisex
Void Shard Gauntlets II,"More powerful Void Shard Gauntlets, stronger disorientation.",1200,600,30,52,0,Unisex
Crimson Guard Gauntlets II,"Superior Crimson Guard Gauntlets, even more ferocious.",1300,650,60,22,0,Male
Enchantress's Embrace,"Advanced bands for a master enchantress, supreme magic.",1150,575,25,50,0,Female
Runeforged Gauntlets II,"More powerful Runeforged Gauntlets, stronger mystical energy.",1400,700,65,30,0,Unisex
Earthshaker Gauntlets II,"Improved Earthshaker Gauntlets, causing stronger tremors.",1500,750,75,20,0,Male
Soulfire Grips II,"More potent Soulfire Grips, searing spirits with greater intensity.",1600,800,35,55,0,Unisex
Dragonheart Gauntlets II,"Gauntlets radiating even greater draconic power.",2000,1000,95,40,0,Unisex
Celestial Tear Gauntlets II,"Enhanced Celestial Tear Gauntlets, drawing more cosmic power.",2100,1050,100,45,0,Unisex
Abyssal Plate Gauntlets II,"Further hardened Abyssal Plate Gauntlets, incredibly resilient.",2200,1100,105,35,0,Unisex
Phoenix Feather Gloves II,"More protective Phoenix Feather Gloves, enhanced healing.",1350,675,32,52,0,Female
Warlord's Fury Gauntlets,"Gauntlets boiling with warlord's fury, inspiring fear.",1700,850,82,25,0,Male
Dreamsteel Gauntlets II,"Improved Dreamsteel Gauntlets, lighter and stronger.",1800,900,80,38,0,Unisex
Voidstone Gauntlets II,"Superior Voidstone Gauntlets, absorbing more magical attacks.",1900,950,85,50,0,Unisex
Sunpetal Handguards II,"More vibrant Sunpetal Handguards, enhanced healing.",1250,625,30,45,8,Female
Heavy Chainmail Gauntlets,"Dense chainmail gauntlets, offering robust defense.",280,140,15,8,0,Unisex
Blessed Silver Gauntlets,"Gauntlets made of purified silver, effective against undead.",350,175,18,10,0,Unisex
Dread Knight Gauntlets,"Gauntlets of a fearsome dark knight, chilling to the touch.",700,350,35,12,0,Male
Fey Iron Gauntlets,"Gauntlets crafted from special Fey iron, resistant to magic.",600,300,28,20,0,Unisex
Serpent Tongue Gloves,"Gloves with a subtle serpentine pattern, aiding in swiftness.",300,150,7,12,10,Unisex
Crusader's Might Gauntlets,"Heavily fortified gauntlets of a valiant crusader.",750,375,40,18,0,Male
Moonlit Dew Gloves,"Gloves shimmering with moonlight dew, granting restorative power.",650,325,12,30,0,Female
Sentinel's Bulwark,"Gauntlets that seem to project a defensive aura.",800,400,42,15,0,Male
Wildheart Gauntlets,"Gauntlets made from primal beast hide, granting strength.",500,250,26,7,0,Unisex
Thunderclap Gauntlets,"Gauntlets that resonate with thunder, stunning foes.",900,450,45,20,0,Unisex
Spiritwoven Armbands,"Armbands intricately woven with spiritual energy.",720,360,16,33,0,Female
Dragonshard Gauntlets,"Gauntlets embedded with fragments of dragon shards, immensely powerful.",1500,750,70,30,0,Unisex
Starforged Vambraces,"Vambraces forged under a specific constellation, granting luck.",1200,600,55,22,10,Unisex
Gravecaller Gauntlets,"Gauntlets that hum with the whispers of the deceased, aiding necromancy.",1300,650,30,40,0,Unisex
Celestial Blessing Gauntlets,"Gauntlets blessed by celestial beings, divine protection.",1600,800,78,38,0,Unisex
Voidheart Grips,"Grips that feel cold to the touch, connected to the void.",1700,850,82,30,0,Unisex
Arcane Sentinel Gauntlets,"Gauntlets of an ancient order of arcane guardians, robust.",1400,700,65,42,0,Unisex
Lionheart Vambraces,"Vambraces bearing the crest of a lion, inspiring courage.",1500,750,72,28,0,Male
Valkyrie's Wings Gloves,"Gloves with feather-like lightness, allowing swift movement.",1300,650,30,45,12,Female
Serpentfang Gauntlets,"Gauntlets with venomous serpent fangs, for deadly strikes.",850,425,38,15,8,Unisex
Golem Lord Gauntlets,"Gauntlets of a golem lord, commanding immense strength.",1000,500,50,12,0,Male
Moonpetal Gauntlets,"Gauntlets made of moonlight-infused petals, magically potent.",750,375,15,35,5,Female
Centurion's Legacy Gauntlets,"Gauntlets of a legendary centurion, carrying his might.",1100,550,55,10,0,Male
Spellbound Gauntlets II,"More potent Spellbound Gauntlets, stronger protective spells.",900,450,22,33,0,Unisex
Iron Guard Gauntlets II,"Reinforced Iron Guard Gauntlets, sturdier.",250,125,13,5,0,Unisex
Brigand's Plated Bracers,"Heavy plated bracers favored by elite brigands.",200,100,10,4,0,Unisex
Zealot's Vengeance Gauntlets,"Gauntlets of a vengeful zealot, empowering their strikes.",600,300,30,10,0,Male
Silken Enchantment Gloves,"Silken gloves imbued with potent enchantments, boosting magic.",400,200,10,20,0,Female
Apprentice's Runebands,"Basic runebands for a magic apprentice, aiding their studies.",180,90,7,10,0,Unisex
Wanderer's Iron Gauntlets,"Iron gauntlets for a seasoned wanderer, robust and practical.",250,125,12,6,0,Unisex
Fabled Champion Gauntlets,"Gauntlets of a fabled champion, unmatched power.",2800,1400,135,70,0,Unisex
Grimskull Lord Gauntlets,"Gauntlets of a grimskull lord, radiating immense dread.",1700,850,85,25,0,Male
Crystalweave Gloves II,"Improved Crystalweave Gloves, enhancing focus further.",1300,650,25,45,0,Female
Dragonsworn Gauntlets II,"More potent Dragonsworn Gauntlets, stronger loyalty to dragons.",1800,900,90,35,0,Unisex
Eternal Flame Gauntlets II,"Stronger Eternal Flame Gauntlets, more intense heat.",1900,950,95,40,0,Unisex
Whispersteel Gauntlets II,"Further enhanced Whispersteel Gauntlets, more silent and potent.",1500,750,70,30,15,Unisex
Stoneskin Grips II,"More powerful Stoneskin Grips, turning skin to tougher stone.",1350,675,62,20,0,Male
Goddess's Touch Gauntlets,"Gauntlets said to be touched by a goddess, supreme defense.",2100,1050,100,55,0,Female
Champion's Glory Gauntlets,"Gauntlets radiating the glory of a champion, inspiring allies.",2300,1150,105,45,0,Unisex
Wraithtouch Gloves II,"More potent Wraithtouch Gloves, chilling effect intensified.",1400,700,32,50,0,Unisex
Titanforged Gauntlets II,"Even more massive Titanforged Gauntlets, immense and heavy.",2500,1250,120,35,0,Male
Ethereal Bands II,"More pure Ethereal Bands, granting greater magical prowess.",1600,800,40,60,0,Unisex
Blademaster Gauntlets II,"Enhanced Blademaster Gauntlets, greater precision and offense.",1000,500,45,15,15,Unisex
Oathsworn Gauntlets II,"More potent Oathsworn Gauntlets, unwavering resolve.",1100,550,52,15,0,Male
Silverlight Gloves II,"Brighter Silverlight Gloves, revealing more hidden paths.",880,440,18,30,10,Female
Guardian's Resolve Gauntlets,"Gauntlets imbued with a guardian's unwavering resolve.",950,475,40,10,0,Unisex
Mystic Relic Gauntlets II,"More powerful Mystic Relic Gauntlets, holding stronger ancient power.",1200,600,55,25,0,Unisex
Shadowdancer Gloves II,"More advanced Shadowdancer Gloves, allowing greater agility.",700,350,12,22,18,Unisex
Battleworn Gauntlets II,"Battleworn Gauntlets hardened by more battles, even stronger.",800,400,38,8,0,Male
Spiritbound Gauntlets II,"More potent Spiritbound Gauntlets, stronger link to spirits.",1050,525,30,38,0,Unisex
Venomous Grips II,"More potent Venomous Grips, dripping with stronger poison.",550,275,15,12,8,Unisex
Zealot's Holy Fists,"Fists of a truly righteous zealot, imbued with divine fervor.",620,310,32,10,0,Male
Emerald Scale Gauntlets II,"More vibrant Emerald Scale Gauntlets, stronger protection.",1300,650,60,25,0,Unisex
Frost Weaver Gloves II,"Improved Frost Weaver Gloves, manipulating ice with greater skill.",950,475,20,40,0,Female
Onyx Claw Gauntlets II,"More potent Onyx Claw Gauntlets, for deeper piercing attacks.",1400,700,65,18,0,Male
Starshard Gauntlets II,"More powerful Starshard Gauntlets, radiating stronger cosmic energy.",1500,750,70,30,0,Unisex
Moonstone Bracers II,"Brighter Moonstone Bracers, enhancing nocturnal endeavors further.",1080,540,22,42,10,Female
Blazecore Gauntlets III,"Ultimate Blazecore Gauntlets, intensely hot and resilient.",1700,850,85,28,0,Male
Nightfall Gauntlets III,"Final tier Nightfall Gauntlets, deepest shadows, supreme stealth.",1550,775,75,35,20,Unisex
Ancient Steel Gauntlets III,"Ancient Steel Gauntlets of ultimate durability, unyielding.",1200,600,55,20,0,Unisex
Divine Essence Gauntlets III,"Ultimate Divine Essence Gauntlets, radiating pure divine power.",2000,1000,90,50,0,Unisex
Void Shard Gloves III,"Final tier Void Shard Gloves, supreme disorientation.",1300,650,35,58,0,Unisex
Crimson Guard Gauntlets III,"Crimson Guard Gauntlets of unparalleled ferocity.",1400,700,65,25,0,Male
Enchantress's Grasp,"Ultimate bands for an enchantress, absolute magical power.",1250,625,28,55,0,Female
Runeforged Gauntlets III,"Ultimate Runeforged Gauntlets, absolute mystical power.",1500,750,70,35,0,Unisex
Earthshaker Gauntlets III,"Ultimate Earthshaker Gauntlets, causing devastating tremors.",1600,800,80,25,0,Male
Soulfire Grips III,"Final tier Soulfire Grips, searing spirits with maximum intensity.",1700,850,40,60,0,Unisex
Dragonheart Gauntlets III,"Gauntlets radiating the heart of a true dragon, immense power.",2100,1050,100,45,0,Unisex
Celestial Tear Gauntlets III,"Ultimate Celestial Tear Gauntlets, drawing maximum cosmic power.",2200,1100,105,50,0,Unisex
Abyssal Plate Gauntlets III,"Final tier Abyssal Plate Gauntlets, unyielding resilience.",2300,1150,110,40,0,Unisex
Phoenix Feather Gloves III,"Ultimate Phoenix Feather Gloves, supreme healing and protection.",1450,725,35,58,0,Female
Warlord's Dominion Gauntlets,"Gauntlets that command absolute dominion, inspiring awe.",1800,900,88,30,0,Male
Dreamsteel Gauntlets III,"Ultimate Dreamsteel Gauntlets, impossibly light and strong.",1900,950,85,42,0,Unisex
Voidstone Gauntlets III,"Final tier Voidstone Gauntlets, absorbing all magical attacks.",2000,1000,90,55,0,Unisex
Sunpetal Handguards III,"Ultimate Sunpetal Handguards, vibrant and supremely healing.",1350,675,32,50,10,Female
